position,name,year,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
F,Danny Granger,2005,79.5,80.5,225,85.5,103,,,,31,134,34,137,10,10.84,3.34,31,17,2009,25,67,66,2424,571,1277,0.447,182,450,0.404,389,827,0.47,404,460,0.878,49,292,341,183,69,97,165,207,1728,21.8,0.584,0.518,0.36,0.352,2.2,13.4,7.7,13.1,1.4,3,10,29.6,114,109,5.6,2.4,8,0.158
,Daryl Dorsey,2005,71.25,72.5,161,71.5,94,,,,25,119,30.5,124.5,,11.41,3.24,66,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,David Lee,2005,79.75,81,230,84,106.5,,,,30.5,137,32.5,139,14,10.8,3.19,11,30,2009,25,81,74,2824,522,951,0.549,0,3,0,522,948,0.551,249,330,0.755,256,695,951,174,80,22,150,260,1293,19,0.59,0.549,0.347,0.003,9.6,27.9,18.4,10.1,1.4,0.6,12,19.2,118,108,5.9,3.1,9,0.154
F,David Lee,2005,79.75,81,230,84,106.5,,,,30.5,137,32.5,139,14,10.8,3.19,11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,David Lucas,2005,78.5,79.75,233,84,103.5,,,,,,,,17,,,77,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,David Simon,2005,80,81.5,259,87.5,108,,,,28,136,33,141,18,11.98,3.44,45,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Dee Brown,2005,71,72,179,74,94,,,,,,,,,,,84,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Dee Brown,2005,71,72,179,74,94,,,,,,,,,,,84,46,1994,25,77,76,2867,490,1021,0.48,30,96,0.313,460,925,0.497,182,219,0.831,63,237,300,347,156,47,126,207,1192,16,0.533,0.495,0.214,0.094,2.5,9.4,5.9,18.2,2.7,1,10.1,18.8,111,108,4.1,2.3,6.4,0.108
,Deji Akindele,2005,81.5,83,236,87,108.5,,,,30.5,139,32.5,141,13,12.58,3.35,53,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Deng Gai,2005,79.75,81.25,214,88.5,110.5,,,,31.5,142,35.5,146,11,12.51,3.27,46,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
