position,name,combineyear,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
G,Igor Rakocevic,2000,74.5,75.25,184,77.25,100,,,,27.5,127.5,34,134,9,10.4,3.1,13,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Jabari Smith,2000,81.75,83,241,86.5,109.5,,,,24.5,134,30,139.5,15,12.45,3.43,45,45,2002,24,23,0,181,26,63,0.413,0,3,0,26,60,0.433,21,32,0.656,8,20,28,11,6,6,5,31,73,13.1,0.474,0.413,0.508,0.048,5,11.9,8.5,9.7,1.7,2.3,6.1,20.4,104,101,0.2,0.3,0.5,0.121
,Jacob Jaacks,2000,81.25,82,238,83,105.5,,,,26,131.5,32,137.5,3,11.48,3.58,56,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Jamal Crawford,2000,76.5,77.5,175,82,102.5,,,,,,,,,,,64,8,2002,21,23,6,481,89,187,0.476,26,58,0.448,63,129,0.488,10,13,0.769,5,29,34,55,18,5,32,18,214,15.3,0.555,0.545,0.07,0.31,1.2,7.2,4.1,21.8,2,0.8,14.2,21.5,102,110,0.4,0.2,0.6,0.055
,Jameel Watkins,2000,81.5,82.75,245,90,110,,,,28,138,30.5,140.5,11,12.38,3.45,52,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jaquay Walls,2000,73.25,74,166,74.5,96.5,,,,28.5,125,35.5,132,,10.75,3.23,23,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jarrett Stephens,2000,77.25,78.25,258,81.25,103,,,,27,130,29,132,13,11.98,3.46,44,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Jason Hart,2000,73.75,74.5,181,78,97.5,,,,29.5,127,33.5,131,9,11.7,3.34,31,49,2002,23,10,0,92,10,19,0.526,0,2,0,10,17,0.588,6,6,1,4,9,13,12,7,1,8,16,26,13.5,0.601,0.526,0.316,0.105,5.2,10.9,8.1,20.9,4.1,0.8,27,15,106,97,0.1,0.2,0.3,0.142
,Jimmie Hunter,2000,75,75.62,170,80,100,,,,29,129,36,136,,11.23,3.35,33,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johnny Hemsley,2000,74.75,76,200,80,100.5,,,,31.5,132,35,135.5,5,11.5,3.19,22,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Julius Doc Robinson,2000,72,,184,75.75,95.5,,,,30,125.5,37.5,133,,12.54,3.41,54,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Justin Love,2000,73.5,74.5,206,76.5,97.5,,,,31,128.5,38.5,136,24,10.99,3.31,5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karim Shabazz,2000,83.5,83.88,224,87,111.5,,,,24.5,136,28,139.5,2,12.72,3.36,59,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kenyon Jones,2000,81,81.75,282,85,108,,,,28.5,136.5,30,138,20,12.44,3.6,40,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Khalid El-Amin,2000,69,69.75,200,73.5,93,,,,27.5,120.5,32,125,6,10.59,3.32,26,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lamont Barnes,2000,80.5,81.25,236,87.5,108,,,,28,136,29.5,137.5,10,12.3,3.4,51,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Lavor Postell,2000,76.5,77,205,80.5,101.5,,,,33.5,135,36.5,138,17,11.79,3.3,17,39,2002,23,23,0,179,28,84,0.333,6,26,0.231,22,58,0.379,31,41,0.756,2,14,16,5,6,0,11,7,93,11,0.456,0.369,0.488,0.31,1.3,9.1,5.2,5,1.8,0,9.7,29.4,90,108,-0.2,0.1,-0.1,-0.019
