position,name,combineyear,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
,A.J. Granger,2000,79.5,80.88,227,81.5,103,,,,30,133,34,137,20,10.73,3.25,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,A.J. Guyton,2000,72.75,73.5,175,75.75,97.5,,,,33,130.5,37.5,135,9,10.55,3.22,8,32,2001,22,33,8,630,78,192,0.406,27,69,0.391,51,123,0.415,15,18,0.833,10,26,36,64,9,5,24,35,198,10.3,0.495,0.477,0.094,0.359,1.8,5.1,3.4,18.1,0.8,0.6,10.7,16.5,101,113,0.4,-0.1,0.3,0.02
G,Alex Scales,2000,74.25,75,185,81,97.5,,,,38.5,136,42.5,140,10,10.98,3.21,7,No,2006,27,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,
F,Antonis Fotsis,2000,81.25,82.25,219,80.5,106,,,,27,133,30,136,2,11.6,3.44,55,47,2002,20,28,1,320,42,104,0.404,7,23,0.304,35,81,0.432,17,20,0.85,25,37,62,10,9,11,21,22,108,11.3,0.479,0.438,0.192,0.221,8.7,12.9,10.8,5.3,1.5,2.4,15.7,19,93,107,-0.1,0.2,0.1,0.017
,Aubrey Reese,2000,70.75,71.5,189,77.5,94.5,,,,31.5,126,37.5,132,14,11.13,3.25,9,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bootsy Thornton,2000,75.5,76.5,195,78.5,101.5,,,,26.5,128,31,132.5,7,12.08,3.33,46,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brandon Kurtz,2000,81.5,82.5,257,83.25,106.5,,,,,,,,7,,,61,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brian Montonati,2000,80.75,81.75,215,82.5,106,,,,25,131,29,135,5,11.85,3.53,57,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caswell Cyrus,2000,79.75,81,221,86,107.5,,,,33.5,141,37.5,145,18,12.12,3.16,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ceedric Goodwyn,2000,78,79.25,238,82,104.5,,,,,,,,,,,65,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
