position,name,year,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
,A.J. Granger,2000,79.5,80.88,227,81.5,103,,,,30,133,34,137,20,10.73,3.25,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,A.J. Guyton,2000,72.75,73.5,175,75.75,97.5,,,,33,130.5,37.5,135,9,10.55,3.22,8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Alex Scales,2000,74.25,75,185,81,97.5,,,,38.5,136,42.5,140,10,10.98,3.21,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Antonis Fotsis,2000,81.25,82.25,219,80.5,106,,,,27,133,30,136,2,11.6,3.44,55,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aubrey Reese,2000,70.75,71.5,189,77.5,94.5,,,,31.5,126,37.5,132,14,11.13,3.25,9,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bootsy Thornton,2000,75.5,76.5,195,78.5,101.5,,,,26.5,128,31,132.5,7,12.08,3.33,46,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brandon Kurtz,2000,81.5,82.5,257,83.25,106.5,,,,,,,,7,,,61,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brian Montonati,2000,80.75,81.75,215,82.5,106,,,,25,131,29,135,5,11.85,3.53,57,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caswell Cyrus,2000,79.75,81,221,86,107.5,,,,33.5,141,37.5,145,18,12.12,3.16,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ceedric Goodwyn,2000,78,79.25,238,82,104.5,,,,,,,,,,,65,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Chris Porter,2000,77.5,78.5,214,81.5,103.5,,,,28.5,132,35,138.5,6,10.93,3.2,19,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cory Hightower,2000,77.5,78.5,183,83,101.5,,,,29.5,131,34.5,136,,11.92,3.37,47,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Damon Reed,2000,80.5,81.5,228,81.5,104.5,,,,27.5,132,31.5,136,4,11.21,3.31,32,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Dan Langhi,2000,81,82,198,80,104,,,,31,135,34.5,138.5,12,10.85,3.24,10,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Dan McClintock,2000,83,84.5,250,85.5,107,,,,33,140,35,142,20,11.52,3.33,16,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Donnell Harvey,2000,79.25,,220,84.5,105.5,,,,33,138.5,32.5,138,15,11.23,,27,22,2005,24,3,0,16,2,2,1,0,0,,2,2,1,4,4,1,2,5,7,1,1,1,1,2,8,35.2,1.064,1,2,0,14.8,38.1,26.3,11,3.4,5.1,21,14,175,90,0.1,0,0.2,0.484
,Ed Cota,2000,72.25,73.5,189,76,96.5,,,,26.5,123,33.5,130,1,10.98,3.24,29,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Eddie Gill,2000,71.75,72.75,176,76,93,,,,35,128,38.5,131.5,13,11.12,3.18,3,No,2006,27,41,0,122,10,45,0.222,7,23,0.304,3,22,0.136,18,23,0.783,0,15,15,12,11,1,9,13,45,9.9,0.408,0.3,0.511,0.511,0,13.8,7.1,15.8,4.8,0.6,14,24.5,85,97,-0.2,0.3,0.1,0.02
G,Eddie House,2000,71.75,72.5,177,75.5,95,,,,29.5,124.5,38.5,133.5,5,11.12,3.27,21,37,2005,26,68,7,891,165,366,0.451,44,97,0.454,121,269,0.45,23,27,0.852,16,67,83,96,44,6,35,65,397,15.8,0.525,0.511,0.074,0.265,2,8.6,5.2,17.9,2.6,0.5,8.5,20.6,109,109,1.2,0.6,1.8,0.097
F,Eduardo Najera,2000,78.5,79.5,235,83.5,104.5,,,,28,132.5,35,139.5,15,11.38,3.45,25,38,2005,28,68,4,1185,145,322,0.45,6,21,0.286,139,301,0.462,58,91,0.637,102,141,243,65,41,24,61,148,354,11.2,0.489,0.46,0.283,0.065,9.4,13.6,11.5,8.5,1.8,1.5,14.4,15.8,101,106,0.4,1.3,1.6,0.066
,Eric Coley,2000,76,77,205,83,102,,,,35,137,38,140,10,11.4,3.15,11,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Ernest Brown,2000,82,83.25,223,85.25,109.5,,,,,,,,2,,,63,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gabe Muoneke,2000,78.25,79.5,244,84.5,105,,,,30.5,135.5,34,139,22,11,3.4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
