"playerID","yearID","stint","teamID","lgID","G","G_batting","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","G_old","POS","AS"
"abbotku01",1994,1,"FLO","NL",101,101,345,41,86,17,3,9,33,3,0,16,98,1,5,3,2,5,101,"SS",FALSE
"abbotku01",1995,1,"FLO","NL",120,120,420,60,107,18,7,17,60,4,3,36,110,4,5,2,5,6,120,"SS",FALSE
"abbotku01",1996,1,"FLO","NL",109,109,320,37,81,18,7,8,33,3,3,22,99,1,3,4,0,7,109,"SS",FALSE
"abbotku01",1997,1,"FLO","NL",94,94,252,35,69,18,2,6,30,3,1,14,68,3,1,6,0,5,94,"2B",FALSE
"abbotku01",1998,1,"OAK","AL",35,35,123,17,33,7,1,2,9,2,1,10,34,0,1,1,1,3,35,"SS",FALSE
"abbotku01",1998,2,"COL","NL",42,42,71,9,18,6,0,3,15,0,0,2,19,0,1,0,2,2,42,"SS",FALSE
"abbotku01",1999,1,"COL","NL",96,96,286,41,78,17,2,8,41,3,2,16,69,0,0,2,1,4,96,"2B",FALSE
"abbotku01",2000,1,"NYN","NL",79,79,157,22,34,7,1,6,12,1,1,14,51,2,1,0,1,2,79,"SS",FALSE
"abbotod01",1910,1,"SLN","NL",22,22,70,2,13,2,1,0,6,3,NA,6,20,NA,0,6,NA,NA,22,"OF",FALSE
"abercre01",2006,1,"FLO","NL",111,111,255,39,54,12,2,5,24,6,5,18,78,2,3,4,1,2,111,"OF",FALSE
"abercre01",2007,1,"FLO","NL",35,35,76,16,15,3,0,2,5,7,1,2,22,0,2,0,0,1,35,"OF",FALSE
"abercre01",2008,1,"HOU","NL",34,34,55,10,17,5,0,2,5,5,2,1,23,0,2,1,1,0,34,"OF",FALSE
"abernbr01",2001,1,"TBA","AL",79,79,304,43,82,17,1,5,33,8,3,27,35,1,0,3,1,3,79,"2B",FALSE
"abernbr01",2002,1,"TBA","AL",117,117,463,46,112,18,4,2,40,10,4,25,46,0,6,8,2,8,117,"2B",FALSE
"abernbr01",2005,1,"MIN","AL",24,24,67,5,16,1,0,1,6,2,0,7,9,0,1,3,1,2,24,"2B",FALSE
"aberscl01",1947,1,"CHN","NL",47,47,140,24,39,6,3,4,20,0,NA,20,32,NA,0,0,NA,5,47,"OF",FALSE
"abnersh01",1987,1,"SDN","NL",16,16,47,5,13,3,1,2,7,1,0,2,8,0,0,0,0,0,16,"OF",FALSE
"abnersh01",1988,1,"SDN","NL",37,37,83,6,15,3,0,2,5,0,1,4,19,1,1,0,1,1,37,"OF",FALSE
"abnersh01",1989,1,"SDN","NL",57,57,102,13,18,4,0,2,14,1,0,5,20,2,0,0,1,1,57,"OF",FALSE
"abnersh01",1990,1,"SDN","NL",91,91,184,17,45,9,0,1,15,2,3,9,28,1,2,2,1,3,91,"OF",FALSE
"abnersh01",1991,1,"SDN","NL",53,53,115,15,19,4,1,1,5,0,0,7,25,4,1,1,1,3,53,"OF",FALSE
"abnersh01",1991,2,"CAL","AL",41,41,101,12,23,6,1,2,9,1,2,4,18,0,0,0,0,3,41,"OF",FALSE
"abnersh01",1992,1,"CHA","AL",97,97,208,21,58,10,1,1,16,1,2,12,35,2,3,2,3,3,97,"OF",FALSE
"abramca01",1950,1,"BRO","NL",38,38,44,5,9,1,0,0,4,0,NA,9,13,NA,0,1,NA,0,38,"OF",FALSE
"abramca01",1951,1,"BRO","NL",67,67,150,27,42,8,0,3,19,3,2,36,26,NA,0,0,NA,5,67,"OF",FALSE
"abramca01",1952,1,"BRO","NL",10,10,10,1,2,0,0,0,0,0,0,2,4,NA,0,0,NA,0,10,"OF",FALSE
"abramca01",1952,2,"CIN","NL",71,71,158,23,44,9,2,2,13,1,0,19,25,NA,0,0,NA,1,71,"OF",FALSE
"abramca01",1953,1,"PIT","NL",119,119,448,66,128,10,6,15,43,4,4,58,70,NA,0,6,NA,2,119,"OF",FALSE
"abramca01",1954,1,"PIT","NL",17,17,42,6,6,1,1,0,2,0,0,10,9,NA,0,0,0,2,17,"OF",FALSE
"abramca01",1954,2,"BAL","AL",115,115,423,67,124,22,7,6,25,1,4,72,67,NA,4,6,1,5,115,"OF",FALSE
"abramca01",1955,1,"BAL","AL",118,118,309,56,75,12,3,6,32,2,8,89,69,2,3,3,3,6,118,"OF",FALSE
"abreubo01",1997,1,"HOU","NL",59,59,188,22,47,10,2,3,26,7,2,21,48,0,1,0,0,0,59,"OF",FALSE
"abreubo01",2002,1,"PHI","NL",157,157,572,102,176,50,6,20,85,31,12,104,117,9,3,0,6,11,157,"OF",FALSE
"abreubo01",2009,1,"LAA","AL",152,152,563,96,165,29,3,15,103,30,8,94,113,7,1,0,9,15,NA,"OF",FALSE
"abreubo01",2010,1,"LAA","AL",154,154,573,88,146,41,1,20,78,24,10,87,132,3,2,0,5,13,NA,"OF",FALSE
"abreubo01",2011,1,"LAA","AL",142,142,502,54,127,30,1,8,60,21,5,78,113,5,1,1,3,8,142,"LF",FALSE
"abreubo01",2012,1,"LAA","AL",8,NA,24,1,5,3,0,0,5,0,0,2,5,0,0,0,1,1,NA,"LF",FALSE
"abreubo01",2012,2,"LAN","NL",92,NA,195,28,48,8,1,3,19,6,2,35,51,3,0,0,0,6,NA,"LF",FALSE
"abreuto01",2007,1,"LAN","NL",59,59,166,19,45,14,1,2,17,0,0,7,21,1,3,0,2,5,59,"3B",FALSE
"abreuto01",2010,1,"ARI","NL",81,81,193,16,45,11,1,1,13,2,1,4,47,0,0,0,4,8,NA,"3B",FALSE
"abreuto01",2012,1,"KCA","AL",22,NA,70,5,18,2,1,1,15,0,0,2,13,0,1,0,1,1,NA,"2B",FALSE
"abstebi01",1909,1,"PIT","NL",137,137,512,51,133,20,10,1,70,16,NA,27,NA,NA,4,27,NA,NA,137,"1B",FALSE
"abstebi01",1910,1,"SLA","AL",25,25,87,1,13,2,0,0,3,3,NA,2,NA,NA,0,1,NA,NA,25,"1B",FALSE
"ackledu01",2011,1,"SEA","AL",90,90,333,39,91,16,7,6,36,6,0,40,79,1,0,0,3,3,90,"2B",FALSE
"ackledu01",2012,1,"SEA","AL",153,NA,607,84,137,22,2,12,50,13,3,59,124,7,0,1,1,3,NA,"2B",FALSE
